id,citie
2685669,Munipios 
245645,Abelardo Luz
263524,Agrolândia
2695780,Agronômica
274020,Água Doce
247668,Águas Frias
2685677,Águas Mornas
255191,Águas de Chapecó
250458,Alfredo Wagner
241668,Alto Bela Vista
270437,Anchieta
259250,Angelina
265559,Anita Garibaldi
253249,Anitápolis
2685355,Antônio Carlos
258801,Apiúna
244563,Arabutã
251882,Araquari
257870,Araranguá
244127,Armazém
247811,Arroio Trinta
264685,Arvoredo
262041,Ascurra
2695836,Atalanta
2685656,Aurora
260768,Balneário Arroio do Silva
255793,Balneário Barra do Sul
2685676,Balneário Camboriú
273111,Balneário Gaivota
253552,Balneário Piçarras
2687280,Balneário Rincão
249674,Bandeirante
2685632,Barra Bonita
273388,Barra Velha
256443,Bela Vista do Toldo
245322,Belmonte
2685625,Benedito Novo
261603,Biguaçu
247536,Blumenau
261150,Bocaina do Sul
274023,Bom Jardim da Serra
255102,Bom Jesus
263924,Bom Jesus do Oeste
267700,Bom Retiro
255482,Bombinhas
259955,Botuverá
259398,Braço do Norte
267275,Braço do Trombudo
258162,Brunópolis
256040,Brusque
267164,Caçador
256952,Caibi
244848,Calmon
272882,Camboriú
250991,Campo Alegre
2695767,Campo Belo do Sul
263094,Campo Erê
2685663,Campos Novos
273398,Canelinha
2685642,Canoinhas
2685205,Capinzal
270908,Capivari de Baixo
243790,Capão Alto
248473,Catanduvas
266025,Caxambu do Sul
254211,Celso Ramos
269911,Cerro Negro
268980,Chapadão do Lageado
269036,Chapecó
2695641,Cocal do Sul
2685639,Concórdia
255649,Cordilheira Alta
267008,Coronel Freitas
2685643,Coronel Martins
2685628,Correia Pinto
247126,Corupá
255506,Criciúma
2685690,Cunha Porã
272959,Cunhataí
2685665,Curitibanos
253833,Descanso
2685684,Dionísio Cerqueira
263770,Dona Emma
250033,Doutor Pedrinho
262565,Entre Rios
258117,Ermo
2685660,Erval Velho
272796,Faxinal dos Guedes
241138,Flor do Sertão
2695837,Florianópolis
263326,Formosa do Sul
269178,Forquilhinha
259829,Fraiburgo
2685661,Frei Rogério
249902,Galvão
482024,Garopaba
242543,Garuva
2685630,Gaspar
241537,Governador Celso Ramos
2685626,Grão-Pará
264158,Gravatal
269426,Guabiruba
256206,Guaraciaba
2685640,Guaramirim
259649,Guarujá do Sul
255675,Guatambu
269610,Herval d'Oeste
2685682,Ibiam
247456,Ibicaré
2685687,Ibirama
2685685,Içara
244887,Ilhota
256329,Imaruí
267035,Imbituba
256735,Imbuia
2685662,Indaial
260217,Iomerê
2685674,Ipira
254807,Iporã do Oeste
253708,Ipuaçu
265695,Ipumirim
245142,Iraceminha
2685666,Irani
251342,Irati
2685688,Irineópolis
267069,Itá
268622,Itaiópolis
269738,Itajaí
254399,Itapema
2685631,Itapiranga
255381,Itapoá
2685659,Ituporanga
266214,Jaborá
2685689,Jacinto Machado
2685650,Jaguaruna
233437,Jaraguá do Sul
253852,Jardinópolis
245233,Joaçaba
253849,Joinville
2685634,José Boiteux
255329,Jupiá
255135,Lacerdópolis
2685672,Lages
2685693,Laguna
254419,Lajeado Grande
2685678,Laurentino
242768,Lauro Müller
268934,Lebon Régis
263673,Leoberto Leal
2695516,Lindóia do Sul
242003,Lontras
258545,Luiz Alves
2685664,Luzerna
2685644,Macieira
240864,Mafra
243640,Major Gercino
262310,Major Vieira
262456,Maracajá
254856,Maravilha
2685691,Marema
245637,Massaranduba
269493,Matos Costa
242532,Meleiro
250395,Mirim Doce
250158,Modelo
255664,Mondaí
2685635,Monte Carlo
242395,Monte Castelo
2685657,Morro da Fumaça
264903,Morro Grande
272475,Navegantes
272881,Nova Erechim
267311,Nova Itaberaba
265605,Nova Trento
246230,Nova Veneza
261535,Novo Horizonte
2685627,Orleans
249986,Otacílio Costa
260501,Ouro
2685641,Ouro Verde
262361,Paial
257888,Painel
269991,Palhoça
251362,Palma Sola
255461,Palmeira
2685645,Palmitos
2695621,Papanduva
260715,Paraíso
267076,Passo de Torres
274546,Passos Maia
263964,Paulo Lopes
264730,Pedras Grandes
274522,Penha
242844,Peritiba
245647,Pescaria Brava
243551,Petrolândia
2684509,Pinhalzinho
272436,Pinheiro Preto
2685619,Piratuba
272976,Planalto Alegre
244710,Pomerode
261528,Ponte Alta do Norte
269608,Ponte Alta
253351,Ponte Serrada
256090,Porto Belo
247167,Porto União
250802,Pouso Redondo
269308,Praia Grande
2685692,Presidente Castello Branco
257448,Presidente Getúlio
2685667,Presidente Nereu
267113,Princesa
271403,Quilombo
242341,Rancho Queimado
243550,Rio das Antas
258110,Rio do Campo
269085,Rio do Oeste
245414,Rio do Sul
255112,Rio dos Cedros
2685646,Rio Fortuna
254536,Rio Negrinho
2685681,Rio Rufino
2685694,Riqueza
242907,Rodeio
259331,Romelândia
254823,Salete
248896,Saltinho
245903,Salto Veloso
2685618,Sangão
257258,Santa Cecília
2695556,Santa Helena
255411,Santa Rosa de Lima
254931,Santa Rosa do Sul
246846,Santa Terezinha
2685633,Santa Terezinha do Progresso
242896,Santiago do Sul
255448,Santo Amaro da Imperatriz
271866,São Bento do Sul
257392,São Bernardino
274538,São Bonifácio
262191,São Carlos
2685683,São Cristóvão do Sul
262057,São Domingos
262256,São Francisco do Sul
271765,São João Batista
248697,São João do Itaperiú
255844,São João do Oeste
262009,São João do Sul
2685670,São Joaquim
258515,São José
256985,São José do Cedro
2685636,São José do Cerrito
273333,São Lourenço do Oeste
242157,Entre Rios do Oeste
244563,Agronomica
245306,Anitápolis
245646,Bela Vista Do Tôldo
248697,Bom Jardim da Serra
250713,Braço do Norte
254211,Celso Ramos (Santa Catarina)
254229,Descanso
257258,Flor do Sertao
258413,Gravatal
260395,Grão Pará
263964,Herval D'Oeste
264554,Ipora do Oeste
264677,Jupiá (Santa Catarina)
267086,Leoberto Leal
2685355,Lontras
2685619,Mondaí
2685639,Pinheiro Prêto
2685644,Pomerode
2685646,Ponte Alta do Norte
2685651,Rio Fortuna
2685687,São Bonifácio (Santa Catarina)
2685690,São Cristovão do Sul
2685694,Timbo Grande
268980,Vargeao
2695780,Zortea
